"Settings","Definições"
"Ziny Extensions","Extensões Ziny"
"Yes","Sim"
"No","Não"
"Zoom with Lens","Zoom com Lente"
"Enable","Habilitado"
"Defines whether the module is active or not.","Define se o módulo está ativo ou não."
"Lens Border Color", "Cor da Borda da Lente"
"Define lens border color.","Define a cor da borda da lente."
"Lens Border Size","Tamanho da Borda da Lente"
"Define lens border size (In px).","Define o tamanho da borda da lente (Em px)."
"Lens Border Transparency","Tranparência da Borda"
"LDefine lens border transparency. (Values .0 to 1)","Define transparência da borda da lente. (De .0 à 1)"
"Lens Type","Tipo de Lente"
"Change your lens type","Selecione o tipo de lente." 
"Lens Size","Tamanho da Lente"
"Define lens total size. (Valid for width and height)","Define o tamanho total da lente. (Válido para altura e largura)"
"Square","Quadrado"
"Circle","Círculo"